symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-08-09 00:00:00+00:00,208.88,209.78,207.2,207.28,23492626,49.9705584246,50.1858662692,49.568650448,49.587788923,93970504,0.0,1.0
AAPL,2018-08-10 00:00:00+00:00,207.53,209.1,206.67,207.36,24611202,49.8222352427,50.1991489869,49.615772937,49.7814229265,98444808,0.73,1.0
AAPL,2018-08-13 00:00:00+00:00,208.87,210.95,207.7,207.7,25890880,50.1439323238,50.6432830167,49.863047559,49.863047559,103563520,0.0,1.0
AAPL,2018-08-14 00:00:00+00:00,209.75,210.56,208.26,210.16,20748010,50.3551960785,50.5496547618,49.9974881302,50.4536257824,82992040,0.0,1.0
AAPL,2018-08-15 00:00:00+00:00,210.24,210.74,208.33,209.22,28807564,50.4728315782,50.5928678025,50.0142932016,50.2279576807,115230256,0.0,1.0
AAPL,2018-08-16 00:00:00+00:00,213.32,213.81,211.47,211.75,28500367,51.2122547197,51.3298902195,50.7681206899,50.8353409755,114001468,0.0,1.0
AAPL,2018-08-17 00:00:00+00:00,217.58,217.95,213.16,213.44,35426997,52.2349633504,52.3237901564,51.1738431279,51.2410634135,141707988,0.0,1.0
AAPL,2018-08-20 00:00:00+00:00,215.46,219.18,215.11,218.1,30287695,51.7260097596,52.6190792681,51.6419844026,52.3598010237,121150780,0.0,1.0
AAPL,2018-08-21 00:00:00+00:00,215.04,217.19,214.03,216.8,26159755,51.6251793312,52.1413350955,51.3827061582,52.0477068406,104639020,0.0,1.0
AAPL,2018-08-22 00:00:00+00:00,215.05,216.36,213.84,214.1,19018131,51.6275800557,51.9420749632,51.3370923929,51.3995112296,76072524,0.0,1.0
AAPL,2018-08-23 00:00:00+00:00,215.49,217.05,214.6,214.65,18883224,51.733211933,52.1077249527,51.5195474538,51.5315510762,75532896,0.0,1.0
AAPL,2018-08-24 00:00:00+00:00,216.16,216.9,215.11,216.6,18476356,51.8940604735,52.0717140854,51.6419844026,51.9996923509,73905424,0.0,1.0
AAPL,2018-08-27 00:00:00+00:00,217.94,218.74,216.33,217.15,20525117,52.3213894319,52.5134473907,51.9348727898,52.1317321976,82100468,0.0,1.0
AAPL,2018-08-28 00:00:00+00:00,219.7,220.54,218.92,219.01,22776766,52.7439169413,52.9455777981,52.5566604315,52.5782669518,91107064,0.0,1.0
AAPL,2018-08-29 00:00:00+00:00,222.98,223.49,219.41,220.15,27254804,53.5313545725,53.6537915212,52.6742959312,52.8519495431,109019216,0.0,1.0
AAPL,2018-08-30 00:00:00+00:00,225.03,228.26,222.4,223.25,48793824,54.023503092,54.7989371007,53.3921125523,53.5961741336,195175296,0.0,1.0
AAPL,2018-08-31 00:00:00+00:00,227.63,228.87,226.0,226.51,43340134,54.6476914581,54.9453812943,54.256373367,54.3788103158,173360536,0.0,1.0
AAPL,2018-09-04 00:00:00+00:00,228.36,229.18,226.63,228.41,27390132,54.8229443455,55.0198037533,54.4076190096,54.834947968,109560528,0.0,1.0
AAPL,2018-09-05 00:00:00+00:00,226.87,229.67,225.1,228.99,33332960,54.4652363972,55.1374392531,54.0403081633,54.9741899881,133331840,0.0,1.0
AAPL,2018-09-06 00:00:00+00:00,223.1,227.35,221.3,226.23,34289976,53.5601632663,54.5804711725,53.1280328589,54.3115900302,137159904,0.0,1.0
AAPL,2018-09-07 00:00:00+00:00,221.3,225.37,220.71,221.85,37619810,53.1280328589,54.1051277245,52.9863901143,53.2600727056,150479240,0.0,1.0
AAPL,2018-09-10 00:00:00+00:00,218.33,221.85,216.47,220.95,39516453,52.4150176868,53.2600727056,51.9684829326,53.044007502,158065812,0.0,1.0
AAPL,2018-09-11 00:00:00+00:00,223.85,224.3,216.56,218.01,35749049,53.7402176027,53.8482502045,51.9900894529,52.3381945033,142996196,0.0,1.0
AAPL,2018-09-12 00:00:00+00:00,221.07,225.0,219.84,224.94,49278740,53.0728161958,54.0163009185,52.7775270841,54.0018965716,197114960,0.0,1.0
AAPL,2018-09-13 00:00:00+00:00,226.41,228.35,222.57,223.52,41706377,54.3548030709,54.8205436211,53.4329248686,53.6609936947,166825508,0.0,1.0
AAPL,2018-09-14 00:00:00+00:00,223.84,226.84,222.52,225.75,31999289,53.7378168782,54.4580342238,53.4209212461,54.1963552549,127997156,0.0,1.0
AAPL,2018-09-17 00:00:00+00:00,217.88,222.95,217.27,222.15,37195133,52.306985085,53.524152399,52.1605408914,53.3320944402,148780532,0.0,1.0
AAPL,2018-09-18 00:00:00+00:00,218.24,221.85,217.12,217.79,31571712,52.3934111665,53.2600727056,52.1245300241,52.2853785646,126286848,0.0,1.0
AAPL,2018-09-19 00:00:00+00:00,218.37,219.62,215.3,218.5,27123833,52.4246205848,52.7247111454,51.6875981678,52.4558300031,108495332,0.0,1.0
